#Plane_1u1
#Wire       tzero  t_zero_err      entries
1    -13.71802     0.00000             19
2    -13.71802     0.00000             18
3    -13.71802     0.00000             34
4    -13.71802     0.00000             45
5    -13.71802     0.00000             79
6    -13.71802     0.00000             87
7    -13.71802     0.00000             130
8    -13.71802     0.00000             159
9    -13.71802     0.00000             197
10    -13.71802     0.00000             253
11    -13.71802     0.00000             287
12    -13.71802     0.00000             371
13    -13.71802     0.00000             420
14    -13.71802     0.00000             509
15    -13.71802     0.00000             593
16    -13.71802     0.00000             688
17    -13.71802     0.00000             857
18    -13.71802     0.00000             863
19    -15.03402     3.32700             1027
20    -14.60865     2.96192             1163
21    -20.60502     5.23272             1391
22    -14.94962     2.76115             1500
23    -19.73456     5.34656             1649
24    -23.72392     6.66043             1890
25    -17.80049     3.16623             2113
26    -12.68607     1.46157             2459
27    -14.03272     1.79465             2570
28    -20.74346     4.26294             2925
29    -15.83173     2.23473             3160
30    -22.23428     4.61871             3598
31    -14.15344     1.47749             4028
32    -12.91416     1.19298             4741
33    -12.97745     1.19987             5288
34    -12.81087     1.05730             6053
35    -13.74115     1.09428             6780
36    -13.43984     0.98757             7963
37    -12.57761     0.79554             9546
38    -12.91920     0.78847             11051
39    -13.75493     0.81897             13410
40    -14.56931     0.74636             15495
41    -12.13270     0.55611             18001
42    -12.70263     0.58217             20620
43    -12.83824     0.53997             23735
44    -13.46228     0.55570             26708
45    -13.47860     0.53580             29949
46    -13.58954     0.52088             33821
47    -15.57364     0.53652             38297
48    -14.42061     0.50421             43115
49    -15.80269     0.51798             49075
50    -15.30433     0.49099             57344
51    -14.88199     0.42069             71494
52    -14.41133     0.35470             87494
53    -13.59829     0.29135             110058
54    -16.32846     0.36927             98914
55    -13.96536     0.39476             73086
56    -16.63897     0.50064             62194
57    -16.71789     0.51044             55021
58    -17.68895     0.62098             49483
59    -16.50075     0.63088             45072
60    -16.25767     0.63889             40868
61    -17.52171     0.70960             37498
62    -15.53972     0.65312             34367
63    -15.97989     0.71194             32021
64    -14.25593     0.61618             31114
65    -13.33099     0.57582             29251
66    -12.86191     0.55443             27434
67    -12.85493     0.56529             26130
68    -12.18369     0.53751             24570
69    -12.84825     0.57901             23671
70    -12.99404     0.62645             22061
71    -12.36542     0.59069             20721
72    -12.28011     0.60071             19875
73    -11.98834     0.59831             18737
74    -12.03585     0.60604             17786
75    -11.75480     0.62205             16772
76    -10.86081     0.75064             15805
77    -9.81153     0.69723             15120
78    -10.48426     0.54962             14075
79    -10.51145     0.76213             13481
80    -12.61082     0.73459             13073
81    -11.97248     0.71631             12464
82    -14.23606     1.28565             11557
83    -12.58235     0.85722             10840
84    -11.98462     0.77985             10094
85    -11.42440     0.73061             9594
86    -13.11838     1.00783             8879
87    -12.49347     0.92721             8091
88    -12.25802     0.95875             7290
89    -12.94045     1.12978             6827
90    -11.20265     1.25798             6151
91    -12.23392     1.46346             5437
92    -10.43769     1.32777             4570
93    -9.23806     1.16137             3939
94    -14.47411     2.61982             3276
95    -10.19787     1.69896             2653
96    -6.97648     4.83990             2082
97    -4.86373     1.67796             1810
98    -4.98501     4.86440             1469
99    -3.01174     1.31306             1221
100    -8.06640     5.28570             1008
101    -13.71802     0.00000             853
102    -13.71802     0.00000             705
103    -13.71802     0.00000             647
104    -13.71802     0.00000             475
105    -13.71802     0.00000             441
106    -13.71802     0.00000             307
107    -13.71802     0.00000             207
