#Plane_1x1
#Wire       tzero  t_zero_err      entries
1    -24.64817     4.35438             3320
2    -21.19308     2.78590             3445
3    -21.72417     2.85404             4118
4    -18.46453     2.00107             4365
5    -18.68814     1.82468             4803
6    -19.89808     1.96856             5237
7    -20.25491     1.63901             5564
8    -20.53505     1.72085             5983
9    -21.41458     2.12674             6446
10    -19.90556     1.39705             6762
11    -20.65020     1.86883             7051
12    -19.06921     1.58047             7298
13    -19.54539     1.61057             7658
14    -17.28088     1.22681             8022
15    -16.63544     1.11257             8520
16    -17.13869     1.18940             8858
17    -15.90496     0.94643             10410
18    -16.52023     0.92907             11317
19    -17.96338     1.08976             11744
20    -17.46977     1.01696             12368
21    -19.34897     0.97617             13056
22    -19.16765     0.92809             13382
23    -18.44540     1.04700             14099
24    -19.30090     0.95299             14749
25    -17.32409     0.92023             15054
26    -16.61686     0.82257             15498
27    -16.31500     0.78395             16726
28    -15.65497     0.71591             17093
29    -15.63967     0.72701             17699
30    -15.33383     0.71350             18166
31    -14.59947     0.64372             19007
32    -7.82071     0.78729             18641
33    -10.41968     0.42442             20618
34    -10.34701     0.42020             21036
35    -10.79193     0.45866             22019
36    -11.75020     0.51372             22469
37    -12.78807     0.55202             23261
38    -15.31782     0.72224             23908
39    -16.94344     0.73645             24361
40    -17.37223     0.73310             25001
41    -16.99923     0.67130             25949
42    -19.66298     0.89253             26353
43    -23.54188     1.14675             27237
44    -28.82696     1.73701             28003
45    -37.53533     2.34718             28464
46    -35.01445     1.36812             28933
47    -35.04964     1.36418             29319
48    -36.22499     1.55434             29996
49    -35.62744     2.38385             30132
50    -34.45598     2.82390             30892
51    -13.23770     0.49516             31782
52    -10.37183     0.33493             32196
53    -10.31772     0.31686             33413
54    -10.22930     0.30938             33541
55    -10.68933     0.32491             34118
56    -11.19871     0.35512             34582
57    -12.25031     0.39639             35293
58    -13.96824     0.42566             35763
59    -14.04504     0.43860             36141
60    -13.75793     0.41395             36393
61    -13.18464     0.44689             36372
62    -11.42583     0.35571             36921
63    -10.24050     0.31761             37272
64    -8.57159     0.34851             36904
65    -5.23255     0.21624             35126
66    -4.30639     0.18339             34238
67    -4.25362     0.18680             33896
68    -3.42359     0.32169             33617
69    -1.28614     0.24396             32716
70    -0.76095     0.22565             32347
71    -0.49131     0.20966             31525
72    -0.23319     0.56713             31429
73    -0.01541     0.20652             30325
74    -1.36352     0.26930             27822
75    -3.83203     0.38628             25195
76    -5.95665     0.29104             23861
77    -6.90532     0.37503             22436
78    -7.51212     0.40376             20900
79    -7.31217     0.41470             22824
