#Plane_2v2
#Wire       tzero  t_zero_err      entries
1    -10.47521     0.00000             42
2    -10.47521     0.00000             78
3    -10.47521     0.00000             126
4    -10.47521     0.00000             178
5    -10.47521     0.00000             222
6    -10.47521     0.00000             280
7    -10.47521     0.00000             340
8    -10.47521     0.00000             388
9    -10.47521     0.00000             465
10    -10.47521     0.00000             553
11    -10.47521     0.00000             655
12    -10.47521     0.00000             771
13    -10.47521     0.00000             865
14    -14.71950     5.58489             1006
15    -11.20039     2.14501             1133
16    -17.73513     5.27764             1267
17    -18.13798     5.79644             1403
18    -21.85293     6.67067             1558
19    -23.33631     6.57771             1753
20    -10.47521     19.57988             1957
21    -21.12610     5.40965             2094
22    -12.81498     1.67591             2304
23    -16.74220     2.67226             2511
24    -14.08023     1.86138             2832
25    -14.98684     1.92778             2998
26    -15.07571     1.94717             3283
27    -14.34830     1.44099             3674
28    -12.38400     1.09977             4085
29    -7.72023     1.56585             4236
30    -5.80116     0.69318             4545
31    -5.21566     0.58623             5153
32    -5.76244     0.59264             5694
33    -6.86626     0.68634             6441
34    -7.00961     0.66484             7563
35    -6.89288     0.56774             8795
36    -6.37787     0.48761             10394
37    -5.83071     0.39362             12444
38    -7.02504     0.45127             14456
39    -7.38922     0.44696             16888
40    -6.97499     0.38622             19272
41    -8.33516     0.46654             21623
42    -7.33867     0.36733             23970
43    -8.30498     0.40808             27249
44    -11.04210     0.43798             30510
45    -8.09778     0.38640             31315
46    -6.99110     0.30313             35879
47    -7.27293     0.29965             41436
48    -7.71348     0.30230             47745
49    -7.39448     0.25536             55622
50    -7.18156     0.22658             71305
51    -6.65458     0.17985             90044
52    -6.48274     0.16937             100020
53    -8.24986     0.25121             74344
54    -9.21743     0.31178             61424
55    -9.82352     0.36197             54022
56    -9.61440     0.37582             48302
57    -10.81076     0.46542             44222
58    -12.80693     0.49818             40236
59    -10.91438     0.50748             37166
60    -11.34447     0.56677             34385
61    -17.79539     0.78305             32394
62    -16.79634     0.80207             30862
63    -15.32444     0.69059             29342
64    -14.52593     0.63400             28060
65    -14.67668     0.68017             26512
66    -16.51598     0.77152             25109
67    -14.52792     0.67778             24095
68    -14.33463     0.68018             23163
69    -13.89482     0.64218             22499
70    -13.60760     0.62461             21279
71    -14.20597     0.71061             20313
72    -14.03917     0.70227             19530
73    -13.99844     0.72487             18423
74    -12.49694     0.57703             17711
75    -12.55092     0.60713             16814
76    -12.55466     0.65110             15926
77    -10.81856     0.77664             14361
78    -8.74443     0.61523             13565
79    -9.78566     0.73069             12995
80    -11.10521     0.65746             12652
81    -10.39055     0.80864             12116
82    -10.39003     0.60386             11344
83    -9.54198     0.75816             10580
84    -11.43933     0.75298             10138
85    -10.55573     0.65811             9561
86    -9.33680     0.76971             9019
87    -13.91176     1.43636             8478
88    -8.96802     0.78913             7867
89    -14.14648     1.54537             7527
90    -11.48757     0.86245             6888
91    -16.89623     2.36275             6038
92    -11.28059     1.27468             5593
93    -10.87904     1.33670             4782
94    -6.29612     0.73279             4082
95    -6.26696     0.80743             3668
96    -13.06691     2.30966             3084
97    -10.47521     24.78501             2513
98    -8.18228     1.34957             2172
99    -6.23305     0.98397             1863
100    -9.24824     2.14570             1502
101    -8.12007     1.81980             1168
102    -8.17678     2.90965             1021
103    -10.47521     0.00000             884
104    -10.47521     0.00000             644
105    -10.47521     0.00000             495
106    -10.47521     0.00000             320
107    -10.47521     0.00000             177
